t_s,i_a,u_v
0.000000,0.8875,0.0500
0.000585,0.8875,0.0500
0.000718,0.6875,0.0500
0.000834,1.3875,0.0500
0.000958,0.6875,0.0500
0.001074,0.6875,0.0500
0.001320,1.1875,0.0500
0.001483,0.1875,0.0500
0.001599,1.0875,0.0500
0.001798,0.6875,0.0500
0.002000,0.8875,0.0500
0.002250,0.8875,0.0500
0.002417,0.8875,0.0500
0.002598,0.8875,0.0500
0.002798,0.8875,0.0500
0.002998,0.8875,0.0500
0.003230,0.8875,0.0500
0.003403,1.0875,0.0500
0.003598,0.8875,0.0500
0.003798,0.6875,0.0500
0.003998,1.0875,0.0500
0.004228,1.0875,0.0500
0.004400,1.0875,0.0500
0.004598,1.0875,0.0500
0.004798,0.6875,0.0500
0.004998,0.8875,0.0500
0.005228,0.8875,0.0500
0.005400,0.6875,0.0500
0.005598,0.6875,0.0500
0.005798,0.8875,0.0500
0.005998,1.0875,0.0500
0.006228,0.6875,0.0500
0.006400,1.0875,0.0500
0.006598,0.8875,0.0500
0.006798,0.8875,0.0500
0.006998,0.8875,0.0500
0.007228,0.8875,0.0500
0.007400,0.8875,0.0500
0.007598,0.8875,0.0500
0.007798,1.0875,0.0500
0.007998,0.6875,0.0500
0.008228,0.6875,0.0500
0.008400,0.8875,0.0500
0.008598,1.0875,0.0500
0.008798,0.8875,0.0500
0.008998,1.0875,0.0500
0.009228,1.0875,0.0500
0.009400,1.0875,0.0500
0.009598,1.0875,0.0500
0.009798,0.6875,0.0500
0.009998,1.0875,0.0500
0.010228,0.8875,0.0500
0.010400,0.6875,0.0500
0.010598,1.0875,0.0500
0.010798,0.5875,0.0500
0.010998,0.8875,0.0500
0.011228,1.1875,0.0500
0.011400,0.6875,0.0500
0.011598,0.6875,0.0500
0.011798,1.6875,0.0500
0.011998,1.0875,0.0500
0.012244,0.8875,0.0500
0.012406,0.4875,0.0500
0.012600,2.9875,0.0500
0.012799,0.6875,0.0500
0.012998,1.0875,0.0500
0.013249,0.8875,0.0500
0.013416,0.8875,0.0500
0.013598,0.8875,0.0500
0.013798,0.8875,0.0500
0.013998,0.6875,0.0500
0.014232,0.8875,0.0500
0.014402,0.8875,0.0500
0.014598,0.8875,0.0500
0.014798,0.8875,0.0500
0.014998,0.6875,0.0500
0.015228,1.0875,0.0500
0.015403,0.6875,0.0500
0.015598,0.6875,0.0500
0.015798,0.6875,0.0500
0.015998,0.6875,0.0500
0.016319,-0.5125,0.0500
0.016514,0.8875,0.0500
0.016639,1.4875,0.0500
0.016798,0.8875,0.0500
0.016998,1.0875,0.0500
0.017248,0.9875,0.0500
0.017410,0.8875,0.0500
0.017598,1.0875,0.0500
0.017798,0.8875,0.0500
0.017998,0.6875,0.0500
0.018228,1.0875,0.0500
0.018403,0.6875,0.0500
0.018598,0.8875,0.0500
0.018798,1.0875,0.0500
0.018998,0.6875,0.0500
0.019228,1.2875,0.0500
0.019403,0.8875,0.0500
0.019598,1.0875,0.0500
0.019798,0.6875,0.0500
0.019998,1.1875,0.0500
0.020228,1.3875,0.0500
0.020403,1.0875,0.0500
0.020598,0.8875,0.0500
0.020798,0.8875,0.0500
0.020998,0.8875,0.0500
0.021228,1.0875,0.0500
0.021403,1.0875,0.0500
0.021598,0.6875,0.0500
0.021798,1.0875,0.0500
0.021998,0.6875,0.0500
0.022228,1.0875,0.0500
0.022404,0.6875,0.0500
0.022598,0.8875,0.0500
0.022798,0.8875,0.0500
0.022998,0.8875,0.0500
0.023243,0.6875,0.0500
0.023409,0.8875,0.0500
0.023600,1.2875,0.0500
0.023801,0.5875,0.0500
0.023998,0.8875,0.0500
0.024250,1.1875,0.0500
0.024412,0.8875,0.0500
0.024598,0.6875,0.0500
0.024798,0.7875,0.0500
0.024998,0.6875,0.0500
0.025228,0.9875,0.0500
0.025403,0.8875,0.0500
0.025598,0.8875,0.0500
0.025798,0.6875,0.0500
0.025998,0.5875,0.0500
0.026228,1.2875,0.0500
0.026403,0.6875,0.0500
0.026598,1.0875,0.0500
0.026798,0.8875,0.0500
0.026998,0.8875,0.0500
0.027228,0.7875,0.0500
0.027403,0.6875,0.0500
0.027598,0.1875,0.0500
0.027798,0.6875,0.0500
0.027998,1.0875,0.0500
0.028228,0.9875,0.0500
0.028403,0.8875,0.0500
0.028598,0.8875,0.0500
0.028798,0.8875,0.0500
0.028998,1.0875,0.0500
0.029228,1.2875,0.0500
0.029403,0.8875,0.0500
0.029598,0.8875,0.0500
0.029798,0.6875,0.0500
0.029998,1.0875,0.0500
0.030228,1.0875,0.0500
0.030403,0.8875,0.0500
0.030598,0.8875,0.0500
0.030798,0.6875,0.0500
0.030998,0.8875,0.0500
0.031228,1.0875,0.0500
0.031403,1.1875,0.0500
0.031598,0.6875,0.0500
0.031798,0.6875,0.0500
0.031998,0.6875,0.0500
0.032228,1.0875,0.0500
0.032403,0.6875,0.0500
0.032598,0.5875,0.0500
0.032798,0.6875,0.0500
0.032998,0.6875,0.0500
0.033228,1.0875,0.0500
0.033404,0.6875,0.0500
0.033598,0.8875,0.0500
0.033798,0.7875,0.0500
