t_s,i_a,u_v
0.000000,0.1437,0.4000
0.000454,0.1437,0.4000
0.000641,0.1437,0.4000
0.000982,0.3437,0.4000
0.001166,0.5437,0.4000
0.001343,0.3437,0.4000
0.001516,0.3437,0.4000
0.001688,0.3437,0.4000
0.001964,0.3437,0.4000
0.002163,0.3437,0.4000
0.002340,0.3437,0.4000
0.002513,0.3437,0.4000
0.002685,0.3437,0.4000
0.002938,0.3437,0.4000
0.003128,0.3437,0.4000
0.003306,0.3437,0.4000
0.003479,0.3437,0.4000
0.003651,0.3437,0.4000
0.003898,0.5437,0.4000
0.004096,0.3437,0.4000
0.004274,0.3437,0.4000
0.004446,0.3437,0.4000
0.004618,0.3437,0.4000
0.004864,0.5437,0.4000
0.005049,0.3437,0.4000
0.005232,0.3437,0.4000
0.005405,0.3437,0.4000
0.005577,0.3437,0.4000
0.005824,0.3437,0.4000
0.006016,0.3437,0.4000
0.006200,0.3437,0.4000
0.006373,0.9437,0.4000
0.006544,0.3437,0.4000
0.006791,0.3437,0.4000
0.006975,0.7437,0.4000
0.007159,0.3437,0.4000
0.007332,0.3437,0.4000
0.007504,0.3437,0.4000
0.007751,0.1437,0.4000
0.007944,0.3437,0.4000
0.008127,0.3437,0.4000
0.008300,0.3437,0.4000
0.008472,0.3437,0.4000
0.008719,0.3437,0.4000
0.008903,0.3437,0.4000
0.009080,0.3437,0.4000
0.009260,0.3437,0.4000
0.009431,0.3437,0.4000
0.009682,0.3437,0.4000
0.009875,0.3437,0.4000
0.010052,0.3437,0.4000
0.010231,0.3437,0.4000
0.010403,0.3437,0.4000
0.010649,0.3437,0.4000
0.010834,0.3437,0.4000
0.011011,0.3437,0.4000
0.011202,0.3437,0.4000
0.011399,0.3437,0.4000
0.011647,0.3437,0.4000
0.011839,0.3437,0.4000
0.012017,0.5437,0.4000
0.012195,0.3437,0.4000
0.012400,0.3437,0.4000
0.012663,0.5437,0.4000
0.012853,0.3437,0.4000
0.013025,0.5437,0.4000
0.013203,0.3437,0.4000
0.013404,0.3437,0.4000
0.013663,0.3437,0.4000
0.013862,0.3437,0.4000
0.014034,0.3437,0.4000
0.014213,0.3437,0.4000
0.014403,0.3437,0.4000
0.014650,0.3437,0.4000
0.014840,0.3437,0.4000
0.015013,0.3437,0.4000
0.015198,0.3437,0.4000
0.015400,0.3437,0.4000
0.015648,0.3437,0.4000
0.015846,0.3437,0.4000
0.016019,0.3437,0.4000
0.016196,0.3437,0.4000
0.016400,0.3437,0.4000
0.016646,0.3437,0.4000
0.016836,0.3437,0.4000
0.017009,0.5437,0.4000
0.017200,0.3437,0.4000
0.017400,0.5437,0.4000
0.017647,0.1437,0.4000
0.017845,0.3437,0.4000
0.018018,0.3437,0.4000
0.018196,0.3437,0.4000
0.018400,0.3437,0.4000
0.018646,0.3437,0.4000
0.018836,0.3437,0.4000
0.019009,0.3437,0.4000
0.019200,0.3437,0.4000
0.019400,0.3437,0.4000
0.019647,-0.2563,0.4000
0.019845,0.5437,0.4000
0.020018,0.3437,0.4000
0.020196,0.3437,0.4000
