t_s,i_a,u_v
0.000000,0.1937,5.1789
0.000465,1.7937,3.2125
0.000797,3.5937,0.7911
0.000984,3.7937,0.5269
0.001158,3.5937,0.8135
0.001331,3.3937,1.1071
0.001503,3.3937,1.1286
0.001784,3.1937,1.4472
0.001990,3.3937,1.2007
0.002164,3.1937,1.5016
0.002336,3.3937,1.2509
0.002508,3.3937,1.2723
0.002759,3.5937,1.0211
0.002953,3.3937,1.3174
0.003127,3.3937,1.3390
0.003299,3.1937,1.6396
0.003471,3.5937,1.1097
0.003723,3.5937,1.1307
0.003925,3.5937,1.1476
0.004099,2.9937,1.9999
0.004271,3.5937,1.1979
0.004582,3.5937,1.2238
0.004895,3.7937,0.9649
0.005093,3.5937,1.2536
0.005265,3.5937,1.2679
0.005440,3.5937,1.2825
0.005612,3.5937,1.2969
0.005864,3.5937,1.3179
0.006052,5.3937,-1.1850
0.006224,3.3937,1.5576
0.006396,2.7937,2.4166
0.006568,3.3937,1.6216
0.006838,3.7937,1.0888
0.007031,3.5937,1.3770
0.007203,3.7937,1.1122
0.007375,3.5937,1.3987
0.007547,5.7937,-1.6581
0.007802,2.3937,3.0522
0.008003,2.9937,2.2773
0.008175,2.9937,2.3128
0.008347,4.9937,-0.4435
0.008519,3.3937,1.7549
0.008782,3.3937,1.7876
0.008982,3.5937,1.5322
0.009154,3.3937,1.8257
0.009326,3.7937,1.2888
0.009498,3.7937,1.2960
0.009753,3.7937,1.3068
0.009954,3.7937,1.3153
0.010126,3.7937,1.3226
0.010298,3.5937,1.6091
0.010470,3.9937,1.0651
0.010731,3.7937,1.3482
0.010930,3.7937,1.3567
0.011102,5.9937,-1.7071
0.011274,3.5937,1.5727
0.011446,2.9937,2.4247
0.011701,3.5937,1.6295
0.011902,5.7937,-1.4379
0.012074,3.3937,1.8491
0.012246,3.1937,2.1497
0.012418,3.5937,1.6197
0.012678,3.9937,1.0758
0.012878,3.7937,1.3564
0.013050,3.7937,1.3637
0.013222,3.9937,1.0918
0.013394,3.7937,1.3712
0.013649,3.7937,1.3820
0.013850,3.7937,1.3905
0.014022,3.7937,1.3978
0.014194,3.7937,1.4051
0.014366,3.9937,1.1332
0.014626,3.7937,1.4163
0.014826,3.9937,1.1444
0.014998,3.7937,1.4239
0.015170,3.9937,1.1519
0.015346,3.7937,1.4315
0.015601,3.7937,1.4423
0.015796,3.7937,1.4506
0.015974,3.9937,1.1787
0.016146,3.9937,1.1789
0.016318,3.9937,1.1791
0.016578,3.7937,1.4623
0.016772,3.7937,1.4705
0.016950,3.9937,1.1986
0.017122,3.9937,1.1988
0.017294,3.9937,1.1990
0.017549,3.7937,1.4819
